"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
172,"NCT03533387","Study of MN-166 (Ibudilast) Extended Release Tablet Formulations Compared With Capsules in Healthy Volunteers",,"Completed","No Results Available","Healthy Volunteers","Drug: MN-166","Compare the PK Profile of two new formulations in Single-day dose of MN-166|Compare the incidence of treatment-emergent adverse events of two new formulations in Single-day dose of MN-166|Compare the PK Profile of two new formulations in Multi-day dose of MN-166|Compare the incidence of treatment-emergent adverse events of two new formulations in Multi-day dose of MN-166","MediciNova","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","28","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","MN-166-HDT-001","April 11, 2018","July 6, 2018","September 30, 2018","May 23, 2018",,"May 31, 2019","WCCT Global, Inc., Cypress, California, United States",,"https://ClinicalTrials.gov/show/NCT03533387"
173,"NCT02127710","A Phase II Trial to Evaluate the Efficacy of AZD6094 (HMPL-504) in Patients With Papillary Renal Cell Carcinoma (PRCC)",,"Completed","Has Results","Papillary Renal Cell Cancer","Drug: AZD6094","Objective Response Rate (RECIST Version 1.1)|Objective Response Rate (RECIST Version 1.1) Stratified by c-MET Status in Efficacy Analysis Set|Objective Response Rate (RECIST Version 1.1) Stratified by c-MET Status in Safety Analysis Set|Progression Free Survival Stratified by c-MET Status in the Efficacy Analysis Set|Overall Survival Stratified by c-MET Status in the Efficacy Analysis Set|Progression Free Survival Stratified by c-MET Status in the Safety Analysis Set|Overall Survival Stratified by c-MET Status in the Safety Analysis Set|Change From Baseline in Target Lesion Tumour Size at 12 Weeks in Efficacy Analysis Set|Change From Baseline in Target Lesion Tumour Size at 12 Weeks in Safety Analysis Set.|Duration of Response|Peak Plasma Concentration of AZD6094 Following Single Dose|Time to Peak Plasma Concentration of AZD6094 After Single Dose|Apparent Volume of Distribution of AZD6094 Following Single Dose|Area Under Plasma Concentration Time Curve for AZD6094 After Single Dose|Area Under Plasma Concentration Time Curve for AZD6094 After Single Dose (Time Zero to Last Measurement)|Apparent Total Clearance of AZD6094 From Plasma After Single Dose|Mean Residence Time of AZD6094 After Single Dose|Elimination Half-Life of AZD6094 After Single Dose","AstraZeneca|SCRI Development Innovations, LLC","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","111","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D5082C00002|GU 111","April 30, 2014","April 14, 2016","April 20, 2020","May 1, 2014","October 12, 2017","April 19, 2021","Research Site, Birmingham, Alabama, United States|Research Site, Duarte, California, United States|Research Site, Palo Alto, California, United States|Research Site, Fort Myers, Florida, United States|Research Site, Chicago, Illinois, United States|Research Site, Iowa City, Iowa, United States|Research Site, Boston, Massachusetts, United States|Research Site, Detroit, Michigan, United States|Research Site, New York, New York, United States|Research Site, Philadelphia, Pennsylvania, United States|Research Site, Nashville, Tennessee, United States|Research Site, Dallas, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Calgary, Alberta, Canada|Research Site, Edmonton, Alberta, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Barcelona, Spain|Research Site, Cambridge, United Kingdom|Research Site, Glasgow, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02127710"
174,"NCT02711007","Apatinib for Advanced Osteosarcoma After Failure of Standard Multimodal Therapy",,"Completed","No Results Available","Osteosarcoma|Metastasis","Drug: apatinib","Progression-free survival, PFS|Objective response rate, ORR|Overall survival, OS|Clinical benefit rate, CBR|Duration of response, DOR","GUO WEI|Peking University People's Hospital","All","16 Years and older   (Child, Adult, Older Adult)","Phase 2|Phase 3","37","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PKUPH-sarcoma","March 2016","December 30, 2017","January 8, 2018","March 17, 2016",,"April 23, 2018","Peking University People's Hospital, Beijing, Beijing, China","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/07/NCT02711007/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/07/NCT02711007/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02711007"
175,"NCT02107963","A Phase I Trial of T Cells Expressing an Anti-GD2 Chimeric Antigen Receptor in Children and Young Adults With GD2+ Solid Tumors",,"Completed","No Results Available","Sarcoma|Osteosarcoma|Neuroblastoma|Melanoma","Biological: Anti-GD2-CAR engineered T cells|Drug: AP1903|Drug: Cyclophosphamide","Feasibility|Determine antitumr effects|Persistence of anti-GD2 CAR T cells and correlate with anti-tumor effects|Evaluate prevalence of GD2 expression|Evaluate effectiveness of AP1903 to mediate clearance of anti-GD2 CAR T cells|Safety","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","All","1 Year to 35 Years   (Child, Adult)","Phase 1","15","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","140059|14-C-0059","February 28, 2014","August 15, 2016","January 31, 2017","April 9, 2014",,"March 16, 2022","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02107963"
176,"NCT01300026","AMG 319 Lymphoid Malignancy FIH",,"Completed","No Results Available","Cancer|Chronic Lymphocytic Leukemia|Diffuse Large Cell Lymphoma|Hematologic Malignancies|Hematology|Leukemia|Low Grade Lymphoma|Lymphoma|Mantle Cell Lymphoma|Non-Hodgkin's Lymphoma|Oncology|Oncology Patients|T Cell Lymphoma|Tumors","Drug: AMG 319","Clinically significant or > or = to Grade 3 CTCAE changes in safety laboratory tests, physical exams, ECGs or vital signs|PK parameters|Clinical/radiological response rate for CLL subjects|Treatment-emergent adverse events|Phospho-AKT level in circulating CLL cells|Number of patients with clinical/radiological response","Amgen","All","18 Years and older   (Adult, Older Adult)","Phase 1","28","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20101262|AMG 319 FIH Lymphoid","April 2011","October 2013","December 2016","February 21, 2011",,"February 9, 2017","Research Site, Hackensack, New Jersey, United States|Research Site, Durham, North Carolina, United States|Research Site, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT01300026"
177,"NCT00922883","A Pilot Study of the Thrombopoietin-Receptor Agonist Eltrombopag in Refractory Aplastic Anemia Patients",,"Completed","Has Results","Anemia, Aplastic|Anemia, Hypoplastic|Thrombocytopenia","Drug: Eltrombopag","The Portion of Drug Responders as Defined by Hematologic Improvements","National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)","All","12 Years and older   (Child, Adult, Older Adult)","Phase 2","43","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","090154|09-H-0154","May 29, 2009","May 7, 2013","April 24, 2018","June 17, 2009","July 16, 2018","October 20, 2020","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00922883"
178,"NCT00540176","The Safety and Efficacy of DCA for the Treatment of Brain Cancer",,"Completed","No Results Available","Malignant Gliomas, Glioblastoma Multiforme","Drug: Dichloroacetate (DCA)","To determine the therapeutic response to oral Dichloroacetate (DCA) in patients with malignant gliomas, utilizing standard criteria for the objective response of tumor size to treatment (CT and/or MRI).|To evaluate the safety and tolerability of oral (DCA) in patients with gliomas.|To determine the progression-free survival (PFS) and overall survival achieved with oral DCA in patients with gliomas.|• To evaluate the in vitro effects of DCA on cell proliferation/apoptosis and mitochondrial function in malignant glioma tissues taken from enrolled patients at the time of surgery and correlate them with clinical data.|• To evaluate glucose uptake using 18F-FDG Positron Emission Tomography (PET) scanning as a biological marker for predicting subsequent therapeutic response to oral DCA in patients with malignant gliomas.","University of Alberta|Capital Health, Canada","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DCA 10002","October 2007","August 2009","August 2009","October 5, 2007",,"October 13, 2014","University of Alberta Hospital, Edmonton, Alberta, Canada",,"https://ClinicalTrials.gov/show/NCT00540176"
179,"NCT01253707","A Study of AMG 337 in Subjects With Advanced Solid Tumors",,"Completed","No Results Available","Advanced Malignancy|Advanced Solid Tumors|Cancer|Oncology|Oncology Patients|Tumors","Drug: AMG 337","To evaluate the safety and tolerability of AMG 337 by reviewing clinically significant or ≥ Grade 3 changes in safety laboratory tests, physical examinations, ECGs, or vitals signs in all subjects enrolled.|Characterize the pharmacokinetics of AMG 337 when administered orally. PK parameters will include, but are not limited to, area under the plasma concentration versus time curve (AUC) and Peak Plasma Concentration (Cmax).|Determine the maximum tolerated dose of AMG 337, if possible. The MTD is defined at the highest dose level with an observed incidence of dose limiting toxicity in < 33% of subjects enrolled in a cohort.|Evaluate for clinical responses associated with AMG 337 treatment according to Response Evaluation Criteria In Solid Tumors 1.1 criteria","Amgen","All","18 Years and older   (Adult, Older Adult)","Phase 1","111","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20101132","December 2010","October 2015","December 2016","December 3, 2010",,"December 23, 2016","Research Site, Los Angeles, California, United States|Research Site, Atlanta, Georgia, United States|Research Site, Chicago, Illinois, United States|Research Site, Boston, Massachusetts, United States|Research Site, Detroit, Michigan, United States|Research Site, Columbus, Ohio, United States|Research Site, Nashville, Tennessee, United States|Research Site, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01253707"
180,"NCT00390468","Tandutinib in Treating Patients With Progressive Prostate Cancer and Bone Metastases",,"Completed","Has Results","Metastatic Cancer|Pain|Prostate Cancer","Drug: Tandutinib","8-week Freedom-From-Progression (FFP)","National Cancer Institute (NCI)","Male","18 Years and older   (Adult, Older Adult)","Phase 2","18","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NCI-2012-02865|P30CA016672|MDA-2005-0717|NCI-7409|CDR0000504104","October 2006","November 2009","November 2009","October 19, 2006","June 7, 2011","May 28, 2014","M. D. Anderson Cancer Center at University of Texas, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00390468"
181,"NCT01064336","Promacta Pregnancy Registry",,"Completed","No Results Available","Purpura, Thrombocytopaenic, Idiopathic","Drug: Eltrombopag","Outcome of Pregnancy (see Detailed Description for a complete list)","GlaxoSmithKline","All","Child, Adult, Older Adult",,"1","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","113327|WE4032","March 2010","July 2014","July 2014","February 8, 2010",,"July 25, 2016",,,"https://ClinicalTrials.gov/show/NCT01064336"
182,"NCT04054206","Relative Bioavailability of MN-166 (Ibudilast) in Extended Release Tablet vs. Intermediate-release Capsule in Healthy Volunteers",,"Completed","No Results Available","Healthy Volunteers","Drug: MN-166","Compare the pharmacokinetic profile of ER and IR formulations in single-dose administration of MN-166 (ibudilast)|Compare the pharmacokinetic profile of ER and IR formulations in single-dose administration of MN-166 (ibudilast) under fed or fasting states|Number of healthy volunteers with treatment-related adverse events as assessed by CTCAE v.4.0|Changes in physical exam results|Number of participants with clinically significant abnormal laboratory results","MediciNova","All","18 Years to 45 Years   (Adult)","Phase 1","12","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MN-166-HDT-002","June 24, 2019","July 17, 2019","May 31, 2020","August 13, 2019",,"July 15, 2020","Collaborative Neuroscience Network, Garden Grove, California, United States",,"https://ClinicalTrials.gov/show/NCT04054206"
183,"NCT03690141","An Open-label Study Examining the Effect of Tomivosertib (eFT508) in Patients With Advanced Castrate-resistant Prostate Cancer (CRPC)",,"Completed","No Results Available","Castrate-resistant Prostate Cancer (CRPC)","Drug: tomivosertib (eFT508)","Anti-tumor response as defined by a patient achieving either of the following outcomes:|PSA progression-free survival from start of study therapy until the date PSA progression is first observed.","Effector Therapeutics","Male","18 Years and older   (Adult, Older Adult)","Phase 2","16","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","eFT508-0009","October 12, 2018","April 27, 2020","April 27, 2020","October 1, 2018",,"April 28, 2020","Yale Cancer Center, New Haven, Connecticut, United States|Northwestern University, Chicago, Illinois, United States|Kimmel Center at Johns Hopkins, Baltimore, Maryland, United States|Karmanos Cancer Institute, Detroit, Michigan, United States|Washington University, Saint Louis, Missouri, United States|Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, United States|The Urology Group, Cincinnati, Ohio, United States|Lancaster Urology, Lancaster, Pennsylvania, United States|Carolina Urologic Research Center, Myrtle Beach, South Carolina, United States|University of Washington, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT03690141"
184,"NCT02542787","Study of VSN16R for the Treatment of Spasticity in Multiple Sclerosis",,"Completed","No Results Available","Spasticity in People With Multiple Sclerosis","Drug: VSN16R|Other: Placebo","Numerical Rating Scale|Modified Ashworth Scale","Canbex Therapeutics Ltd","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","160","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CBX-001","August 2015","October 2017","October 2017","September 7, 2015",,"March 2, 2018","The Neuroscience Research Centre, The Walton Centre NHS Foundation Trust, Liverpool, United Kingdom|The Royal London Hospital, London, United Kingdom|The National Hospital for Neurology and Neurosurgery, London, United Kingdom|Royal Hallamshire Hospital, Sheffield Teaching Hospital NHS Foundation Trust, Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02542787"
185,"NCT02366312","A Phase 2, Single-center, Single-arm, Open Label Trial of Vismodegib in Patients With Keratocystic Odontogenic Tumors","KCOT","Completed","Has Results","Keratocystic Odontogenic Tumor","Drug: vismodegib","KCOT Volume (Greatest Dimension)","NYU College of Dentistry|Genentech, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","2","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","15-00254|ML28859","October 27, 2015","August 2019","August 2019","February 19, 2015","February 18, 2021","February 18, 2021","NYU Bluestone Center For Cllinical Research, New York, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/12/NCT02366312/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/12/NCT02366312/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT02366312"
186,"NCT01962363","EPI-743 in Friedreich's Ataxia Point Mutations",,"Completed","No Results Available","Friedreich's Ataxia","Drug: EPI-743","Visual function|Safety parameters|Neurologic function|Physical function|Health related quality of life|Activities of Daily Living|Cardiac indices|Upper extremity function|Disease biomarkers","University of South Florida|Edison Pharmaceuticals Inc|Friedreich's Ataxia Research Alliance","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","4","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EPI-743 PM","October 2013","June 2016","June 2016","October 14, 2013",,"June 29, 2016","University of South Florida, Tampa, Florida, United States",,"https://ClinicalTrials.gov/show/NCT01962363"
187,"NCT04179071","A Study in Healthy Male Subjects to Understand How Savolitinib Behaves Inside the Body (Pharmacokinetics) When Administered Alone and in Combination With Famotidine",,"Completed","No Results Available","Solid Tumours","Drug: Savolitinib|Drug: Famotidine","Maximum observed plasma concentration (Cmax) ratio|Area under plasma concentration-time curve from zero to infinity (AUC) ratio|Number of subjects with having adverse events and/or abnormal findings in vital signs and/or laboratory evaluation and/or physical examination|AUC geometric means ratio of test treatment (savolitinib+famotidine) relative to reference treatment (savolitinib alone)|Area under the plasma concentration curve from time zero to time of last quantifiable concentration AUC(0-t)|Cmax geometric means ratio of test treatment (savolitinib+famotidine) relative to reference treatment (savolitinib alone)|Cmax metabolite-to-parent ratios (MRCmax)|AUC metabolite-to-parent ratios (MRAUC)|AUC(0-t) metabolite-to-parent ratios [MRAUC(0-t)]|Time to reach maximum observed plasma concentration (tmax)|Half-life associated with terminal slope (λz) of a semi logarithmic concentration-time curve (t½,λz)|Terminal elimination rate constant (λz)|Apparent volume of distribution during the terminal phase after extravascular administration (Vz/F)|Apparent total body clearance of drug from plasma after extravascular administration (CL/F)","AstraZeneca|Parexel","Male","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","16","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","D5084C00005","December 13, 2019","March 11, 2020","March 11, 2020","November 26, 2019",,"July 7, 2020","Research Site, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04179071"
188,"NCT00858377","A Phase 1 First-in-Human Study Evaluating AMG 900 in Advanced Solid Tumors",,"Completed","No Results Available","Advanced Malignancy|Advanced Solid Tumors|Cancer|Solid Tumors|Tumors","Drug: Arm 1- Dose Escalation|Drug: Arm 1- Dose Expansion","Safety: subject incidence of adverse events, first-cycle DLTs and clinically significant changes in vital signs, weight, ECGs and clinical laboratory tests|PK profile: AMG 900 PK parameters including, but not limited to, maximum observed concentration (Cmax), minimum observed concentration, area under the plasma concentration-time curve and, if feasible, half-life|Change in levels of p-Histone H3 from baseline (part 1 - dose escalation only)|Response rate in each taxane-resistant tumor type assessed per RECIST guidelines (part 2 - dose expansion only)|Change in tumor volume from baseline measured by volumetric CT or MRI|Tumor response measured by CT or MRI and assessed per RECIST guidelines|Change from baseline in maximum standardized uptake value (SUVmax) using 18FLT-PET/CT (part 2 - dose expansion only)","Amgen","All","18 Years and older   (Adult, Older Adult)","Phase 1","95","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20080016","August 10, 2009","December 31, 2014","April 3, 2019","March 9, 2009",,"May 6, 2019","Research Site, Tucson, Arizona, United States|Research Site, Los Angeles, California, United States|Research Site, Baltimore, Maryland, United States|Research Site, Las Vegas, Nevada, United States|Research Site, Albuquerque, New Mexico, United States|Research Site, Kurralta Park, South Australia, Australia|Research Site, Bentleigh East, Victoria, Australia|Research Site, Parkville, Victoria, Australia",,"https://ClinicalTrials.gov/show/NCT00858377"
189,"NCT03376958","Apatinib for Relapsed and Refractory Diffuse Large B Cell Lymphoma",,"Completed","No Results Available","Relapsed and Refractory|Diffuse Large B Cell Lymphoma","Drug: Apatinib","Overall Response Rate|Progression-free Survival|Overall Survival","Zhengzhou University","All","14 Years to 70 Years   (Child, Adult, Older Adult)","Phase 4","32","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","hnslblzlzx2017-1","January 1, 2017","February 1, 2019","April 30, 2019","December 19, 2017",,"July 25, 2019","Oncology Department of The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China",,"https://ClinicalTrials.gov/show/NCT03376958"
190,"NCT01815515","Evaluation of 18F-DCFBC PSMA-based PET Imaging for Detection of Metastatic Prostate Cancer",,"Completed","Has Results","Metastatic Prostate Cancer","Drug: 18F-DCFBC","Measurement of Sensitivity of DCFBC-PET as Determined by Agreement of PET/CT Detection of Metastatic Prostate Cancer With Conventional Imaging Modality (CIM)|Sensitivity of Detection of New or Progression of Metastasis","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","Male","18 Years to 100 Years   (Adult, Older Adult)","Phase 1|Phase 2","22","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","J12113|NA_00052383","March 2013","July 2015","November 18, 2015","March 21, 2013","August 20, 2018","August 20, 2018","Johns Hopkins University, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01815515"
191,"NCT02714036","A Biomarker Study to Evaluate MN-166 (Ibudilast) in Subjects With Amyotrophic Literal Sclerosis (ALS)",,"Completed","No Results Available","Amyotrophic Lateral Sclerosis","Drug: ibudilast","To measure the impact of MN-166 (ibudilast) on [11C]-PBR28 uptake in the motor cortices and brain stem measured by positron emission tomography (PET) imaging at 24 weeks|To measure the impact of MN-166 (ibudilast) on several markers of neuro-inflammation measured by blood biomarkers|To evaluate the safety and tolerability of MN-166 by assessing the number of treatment-related adverse events.|To evaluate the effect of ibudilast on ALS functional rating scale-revised (ALSFRS-R)|To evaluate the effect of ibudilast on slow vital capacity (SVC)|To evaluate the effect of ibudilast on strength as measured by Hand-held dynamometry (HHD)","MediciNova|Massachusetts General Hospital|South Shore Neurologic Associates","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","35","Industry|Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MN-166-ALS-1202","May 6, 2016","December 31, 2019","June 30, 2020","March 21, 2016",,"July 21, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States|South Shore Neurologic Associates, P.C., Patchogue, New York, United States",,"https://ClinicalTrials.gov/show/NCT02714036"
192,"NCT01380756","Study Evaluating Orally Administered AMG 900 in Adult Subjects With Acute Myeloid Leukemia",,"Completed","No Results Available","Cancer|Hematologic Malignancies|Leukemia|Myeloid Leukemia","Drug: Arm 1- Dose Escalation|Drug: Arm 2- Dose Expansion","Subject incidence of adverse events|Subject incidence of dose limiting toxicities (DLTs)|Maximum observed concentration of AMG 900|Time to maximum observed concentration of AMG 900|Area under the plasma concentration-time curve (AUC) of AMG 900|Half life of AMG 900|Objective response as per Cheson Response Criteria|Change in the number of p-Histone H3 positive cells from baseline","Amgen","All","18 Years and older   (Adult, Older Adult)","Phase 1","35","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20101351","October 4, 2011","September 4, 2014","September 4, 2014","June 27, 2011",,"November 6, 2017","Research Site, Stony Brook, New York, United States|Research Site, Cleveland, Ohio, United States|Research Site, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01380756"
193,"NCT03650075","To Determine Safety and Tolerability of MG-S-2525 and to Evaluate Its PK Profile in Healthy Volunteers",,"Completed","No Results Available","Idiopathic Pulmonary Fibrosis (IPF)","Drug: MG-S-2525","maximum tolerated dose (MTD) (Single Ascending Dose (SAD) and Multiple Ascending Dose (MAD) parts)|dose limiting toxicity (DLT) (Single Ascending Dose (SAD) and Multiple Ascending Dose (MAD) parts)|total exposure by area under the curve (AUC) (Food Effect Part)|peak concentration (Cmax) under fasting/fed condition (Food Effect Part)","Metagone Biotech Inc.","All","20 Years and older   (Adult, Older Adult)","Phase 1","81","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","MEOMGSA20180103","February 25, 2019","December 31, 2019","February 27, 2020","August 28, 2018",,"September 2, 2020","Taipei Medical University Hospital, Taipei, Taiwan",,"https://ClinicalTrials.gov/show/NCT03650075"
194,"NCT04216082","A Study of Anlotinib in Subjects With Advanced Malignancy",,"Completed","No Results Available","Advanced Malignancy","Drug: Anlotinib","Overall response rate (ORR)|Progression-free survival (PFS)|Disease control rate（DCR）|Duration of Response (DOR)","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","93","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ALTN-00-II","August 1, 2013","August 31, 2014","August 1, 2015","January 2, 2020",,"January 2, 2020","Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04216082"
